influencer_id,name,platform,followers_count,engagement_rate,category,location,rate_per_post
INF0050,Jacqueline Miles DVM,YouTube,413808,9.01,Fashion,Brisbane,4437.99
INF0051,Rebecca Petersen,Instagram,158245,7.37,Tech,Sydney,3363.42
INF0052,Melanie Larson,TikTok,431420,1.56,Gaming,Sydney,1213.91
INF0053,Kelly Rice,TikTok,433812,2.33,Tech,Melbourne,4342.38
INF0054,Thomas Rodriguez,Instagram,432540,1.07,Travel,Adelaide,4453.25
INF0055,Stephanie Harris,TikTok,127258,6.68,Fitness,Sydney,1143.94
INF0056,Carmen Bond,Instagram,116668,5.03,Gaming,Sydney,3739.65
INF0057,Michael Love,Instagram,459418,2.21,Fashion,Brisbane,1575.29
INF0058,Steven Griffin Jr.,TikTok,487616,9.62,Travel,Adelaide,4052.67
INF0059,Jason Elliott,Twitter,391328,5.77,Tech,Melbourne,4986.74
INF0060,Megan Parker,Instagram,428966,3.18,Tech,Sydney,344.12
INF0061,David Smith,YouTube,474328,5.51,Fitness,Adelaide,4507.36
INF0062,Benjamin Henderson,YouTube,283710,7.12,Fashion,Adelaide,3188.63
INF0063,Kimberly Brown,TikTok,143262,1.69,Fashion,Melbourne,4872.24
INF0064,Victoria Kennedy,Twitter,486823,3.47,Beauty,Adelaide,2432.05
INF0065,Christopher Taylor,TikTok,43333,8.26,Fashion,Adelaide,4267.46
INF0066,Monica Stuart,Twitter,389073,5.14,Fitness,Adelaide,499.49
INF0067,Steven West,Instagram,216977,5.92,Beauty,Sydney,1809.34
INF0068,Jamie Miller,Instagram,94571,4.9,Beauty,Melbourne,521.68
INF0069,Shelly Anderson,Instagram,125263,1.4,Tech,Adelaide,4881.65
INF0070,Barbara Haney,Instagram,399805,2.49,Tech,Adelaide,4121.47
INF0071,Cameron Irwin,YouTube,30235,5.01,Fashion,Sydney,4292.23
INF0072,Nicole Good,YouTube,5159,2.88,Beauty,Melbourne,4702.23
INF0073,Nathan Coleman,TikTok,148217,1.45,Tech,Brisbane,608.5
INF0074,David Murray,Twitter,479125,8.59,Fitness,Sydney,2050.87
INF0075,Colin Golden,Instagram,167993,9.83,Tech,Melbourne,540.97
INF0076,Amanda Keller,Instagram,372003,8.14,Gaming,Adelaide,1211.81
INF0077,Taylor Small,Twitter,152309,8.68,Gaming,Melbourne,1300.96
INF0078,Austin Wheeler,Twitter,112507,3.18,Tech,Melbourne,2451.71
INF0079,Michael Brennan,TikTok,406460,9.65,Beauty,Melbourne,1489.1
INF0080,Andrew Gonzales,Twitter,19743,2.77,Beauty,Brisbane,684.69
INF0081,Nicole Parsons,Instagram,233174,9.56,Travel,Melbourne,1003.96
INF0082,Wyatt Young,Instagram,51101,9.95,Gaming,Brisbane,906.92
INF0083,Laura Ray,Instagram,247717,7.41,Fitness,Adelaide,4870.77
INF0084,Sabrina Young,Instagram,126534,9.83,Beauty,Brisbane,3844.6
INF0085,Victoria Boyd,Instagram,351371,6.13,Fashion,Adelaide,4845.26
INF0086,Donald Hawkins,TikTok,235604,3.34,Gaming,Adelaide,2310.75
INF0087,Nancy Thompson,Instagram,192450,4.93,Fitness,Brisbane,1536.17
INF0088,Kristi Williams,TikTok,338270,6.34,Fitness,Sydney,4031.81
INF0089,Mason James,Instagram,323215,1.66,Beauty,Perth,1766.02
INF0090,Melissa Russell,YouTube,207193,6.6,Fitness,Melbourne,1637.04
INF0091,Clinton Medina,YouTube,341907,9.83,Beauty,Perth,1316.03
INF0092,Darin Mathews,YouTube,492030,2.71,Tech,Melbourne,822.46
INF0093,Joel Brown,YouTube,240422,8.13,Gaming,Melbourne,1431.02
INF0094,Jason Moreno,TikTok,410453,9.17,Travel,Adelaide,1905.53
INF0095,David Rivera,TikTok,151721,9.49,Tech,Melbourne,3435.17
INF0096,Jerry Watson,Twitter,173785,9.64,Gaming,Melbourne,500.31
INF0097,Sandra Williams,Instagram,209535,5.69,Beauty,Brisbane,1210.43
INF0098,Larry Williams,YouTube,181481,9.8,Gaming,Perth,4083.31
INF0099,Robert Matthews,TikTok,184838,7.82,Beauty,Brisbane,905.23
INF0100,Claire Clark,Instagram,51154,2.46,Tech,Melbourne,1844.7
INF0101,Elizabeth Stout,Instagram,274160,5.29,Fashion,Adelaide,4350.36
INF0102,Colton Figueroa,TikTok,477779,7.46,Fashion,Brisbane,943.64
INF0103,Nicole Rocha,YouTube,446904,3.23,Gaming,Brisbane,597.14
INF0104,Michele Sanders,Twitter,356822,6.77,Fashion,Sydney,2525.78
INF0105,Frank Campbell,Instagram,379200,7.0,Beauty,Melbourne,1651.61
INF0106,Matthew Parker,Twitter,59238,2.46,Fitness,Adelaide,2904.36
INF0107,Stephen Owens,YouTube,325752,6.09,Beauty,Brisbane,4058.26
INF0108,Miranda Gill,YouTube,94081,7.94,Fitness,Brisbane,858.31
INF0109,Dale Edwards,Twitter,252644,5.49,Tech,Adelaide,2987.36
INF0110,Sean Figueroa,YouTube,430113,1.11,Travel,Melbourne,2626.44
INF0111,Juan Silva,Instagram,318105,1.08,Fitness,Sydney,891.58
INF0112,Elizabeth Gonzalez,Twitter,204775,4.21,Fashion,Brisbane,3195.19
INF0113,Kelly Sanchez,YouTube,442973,9.34,Beauty,Sydney,1513.47
INF0114,Terri Morgan,Twitter,294061,3.06,Tech,Perth,2541.6
INF0115,Katherine Cummings,Instagram,420952,6.71,Fashion,Melbourne,594.91
INF0116,Julia Oconnor,YouTube,295134,3.0,Tech,Perth,2406.0
INF0117,Charles Payne,Instagram,67551,3.9,Travel,Perth,1671.02
INF0118,Steve Mooney,YouTube,456377,8.63,Beauty,Perth,4147.43
INF0119,Kelly Combs,TikTok,215695,7.56,Gaming,Melbourne,473.5
INF0120,Robert Williams,YouTube,158512,1.86,Beauty,Melbourne,2209.31
INF0121,Chad Mccoy,Twitter,171277,4.86,Travel,Adelaide,2400.47
INF0122,Chris Robinson,YouTube,85811,1.26,Beauty,Sydney,3680.03
INF0123,Antonio Little,Instagram,259840,5.33,Gaming,Sydney,2956.58
INF0124,Susan Hopkins,Instagram,322247,6.96,Fitness,Adelaide,3402.62
INF0125,Joseph Jenkins,YouTube,469028,2.07,Tech,Adelaide,3929.84
INF0126,Nathan Nichols,Twitter,439843,3.6,Gaming,Perth,4338.57
INF0127,Jonathan Wolfe,TikTok,373266,4.58,Fashion,Adelaide,1706.6
INF0128,Todd White,Twitter,239104,9.28,Travel,Brisbane,2782.51
INF0129,Kelly Allen,TikTok,24008,9.94,Fitness,Sydney,4232.52
INF0130,Dawn Gomez,Instagram,207346,1.4,Fashion,Adelaide,4949.37
INF0131,Angela Chung,Twitter,37402,7.85,Fashion,Brisbane,4469.69
INF0132,David Terry,TikTok,189456,4.35,Travel,Brisbane,1983.04
INF0133,Ronald Miller,YouTube,264994,4.53,Fitness,Brisbane,1136.8
INF0134,Marie Johnson MD,Instagram,404009,7.79,Fashion,Brisbane,2549.08
INF0135,John Walsh,YouTube,141643,9.27,Fashion,Perth,3759.88
INF0136,Angela Bruce,Instagram,495083,9.56,Fitness,Brisbane,2564.33
INF0137,Erin Madden,Twitter,414425,6.19,Beauty,Perth,2519.27
INF0138,Stephanie Ellison,Twitter,118550,4.21,Fashion,Perth,4223.51
INF0139,Steven Schwartz,Instagram,489146,8.09,Tech,Brisbane,1934.74
INF0140,Denise Glass,Instagram,441364,3.26,Fitness,Sydney,4327.01
INF0141,Diana Daniels,Instagram,96218,6.08,Fashion,Brisbane,2152.66
INF0142,Cassie Jefferson,Twitter,138296,4.23,Travel,Brisbane,1775.52
INF0143,Daniel Thomas,TikTok,184767,6.91,Gaming,Brisbane,2379.15
INF0144,Samantha Hickman,YouTube,387923,3.16,Tech,Sydney,3859.75
INF0145,Justin Knight,YouTube,396858,2.72,Gaming,Melbourne,804.81
INF0146,Megan Fernandez,Twitter,246060,9.26,Gaming,Melbourne,1142.81
INF0147,Patrick Gibbs,YouTube,245016,1.92,Fashion,Perth,4766.94
INF0148,Angela Mcgee,Instagram,37441,5.55,Tech,Perth,1042.36
INF0149,Brent Hall,TikTok,243038,2.99,Tech,Sydney,2925.09
INF0150,Larry Austin,YouTube,175201,1.35,Beauty,Adelaide,2980.71
INF0151,Tracy Nguyen,TikTok,236324,1.32,Gaming,Melbourne,2550.2
INF0152,Rachel Hayes,Instagram,329512,2.58,Tech,Perth,3294.78
INF0153,Juan Bennett,YouTube,97122,8.8,Beauty,Melbourne,1303.17
INF0154,Kevin James,Twitter,49760,3.54,Fitness,Sydney,2852.78
INF0155,Elizabeth Wright,TikTok,290622,9.55,Beauty,Sydney,1986.43
INF0156,Derrick James,Instagram,395025,6.23,Travel,Adelaide,3376.0
INF0157,Brittany Price,TikTok,338998,4.93,Fashion,Adelaide,877.87
INF0158,Brandon Hahn,YouTube,361374,6.22,Fitness,Sydney,2940.21
INF0159,Philip Garcia,YouTube,352860,5.65,Fitness,Perth,1089.3
INF0160,Jeffrey Hawkins,Twitter,148252,7.83,Travel,Melbourne,1537.49
INF0161,Ashley Davis,Instagram,103538,3.54,Beauty,Brisbane,1249.81
INF0162,Linda Mueller,Instagram,20372,4.18,Fashion,Adelaide,1077.62
INF0163,Alexandria Gutierrez,Twitter,296940,9.05,Beauty,Brisbane,4163.41
INF0164,Misty Hansen,Twitter,456488,9.52,Tech,Perth,1571.4
INF0165,Dana Meyer DDS,Instagram,226035,9.03,Beauty,Adelaide,4650.19
INF0166,Derrick Adams,TikTok,365970,4.78,Fitness,Brisbane,4855.65
INF0167,Christopher Hill,TikTok,387736,8.02,Fashion,Perth,2942.05
INF0168,Richard Ward,Twitter,360779,5.29,Beauty,Melbourne,886.41
INF0169,Michelle Simpson,TikTok,116022,5.48,Fashion,Perth,1997.83
INF0170,Judith Taylor,Instagram,59040,2.84,Fashion,Adelaide,4029.11
INF0171,James Skinner,YouTube,342501,6.32,Tech,Sydney,1963.48
INF0172,Scott Alexander,YouTube,207440,2.68,Tech,Melbourne,617.68
INF0173,Rodney Curtis,TikTok,83356,3.98,Fitness,Brisbane,2872.57
INF0174,Elizabeth Morrison,Twitter,283355,8.7,Travel,Adelaide,4256.58
INF0175,Karen Thompson,Twitter,372570,2.86,Fashion,Sydney,4020.45
INF0176,Francis Navarro,Twitter,272986,1.64,Travel,Perth,1040.59
INF0177,Tracy Casey,Twitter,461331,1.62,Fitness,Sydney,3429.27
INF0178,Douglas Hartman,Twitter,333996,9.47,Fashion,Adelaide,1258.42
INF0179,Timothy Gonzalez,TikTok,392881,5.56,Fashion,Adelaide,1247.4
INF0180,Catherine Saunders MD,YouTube,313112,4.68,Gaming,Sydney,4395.54
INF0181,Terri Clark,YouTube,284652,8.3,Travel,Perth,1398.41
INF0182,Sandra Jones,TikTok,158077,8.52,Beauty,Sydney,1463.59
INF0183,Rebecca Chambers,Twitter,59575,3.99,Tech,Adelaide,203.14
INF0184,Eric King,TikTok,478958,7.24,Beauty,Adelaide,4379.21
INF0185,Jay Bennett,YouTube,155043,7.94,Travel,Brisbane,4004.46
INF0186,Kyle Aguilar,Instagram,423815,6.89,Tech,Brisbane,3211.18
INF0187,Tammy Kane,TikTok,485808,2.36,Beauty,Melbourne,3801.28
INF0188,Andrew Schmitt,Twitter,71914,8.88,Gaming,Adelaide,929.83
INF0189,Robin Wheeler,YouTube,254134,5.85,Tech,Brisbane,2399.95
INF0190,Ashley Wright,YouTube,72055,3.54,Fashion,Sydney,1885.85
INF0191,Carol Salazar,YouTube,92697,4.83,Beauty,Perth,650.13
INF0192,Maria Lucas,YouTube,111239,1.34,Tech,Sydney,2533.43
INF0193,Erin Hogan,Twitter,240469,2.15,Gaming,Perth,4619.55
INF0194,Brett Walker,Instagram,128106,7.89,Tech,Brisbane,392.28
INF0195,Kristin Watts,YouTube,272499,1.0,Tech,Melbourne,1599.01
INF0196,James Ford,TikTok,321264,4.75,Gaming,Sydney,1196.2
INF0197,Melissa Hernandez,Instagram,472835,5.7,Beauty,Sydney,1343.1
INF0198,Mrs. Elizabeth Knapp MD,YouTube,305486,1.49,Fitness,Sydney,4560.49
INF0199,Monica Bailey,Instagram,484208,9.76,Beauty,Perth,2446.73
INF0200,Richard Boyd,TikTok,477076,3.04,Travel,Brisbane,2438.24
INF0201,Brent Bowen,YouTube,7257,3.74,Gaming,Sydney,3850.76
INF0202,Austin Williams,TikTok,294508,3.74,Beauty,Sydney,941.56
INF0203,Alison Cooper,Twitter,161044,3.07,Tech,Melbourne,2538.87
INF0204,Robert Spears,YouTube,116715,1.01,Gaming,Melbourne,2263.93
INF0205,Kelli Arnold,YouTube,31654,7.56,Fashion,Brisbane,3065.17
INF0206,Jeffery Murray,YouTube,216841,9.7,Beauty,Brisbane,4997.88
INF0207,Lori Lopez,YouTube,348567,3.02,Gaming,Adelaide,3893.35
INF0208,Jennifer Mclaughlin,Twitter,296464,6.97,Beauty,Melbourne,2109.76
INF0209,Joanna Jordan,YouTube,25808,7.68,Gaming,Adelaide,4172.25
INF0210,Daniel Ramirez,Instagram,57389,8.64,Tech,Perth,1019.4
INF0211,Rebecca Ray,YouTube,493906,4.8,Fashion,Adelaide,346.23
INF0212,Kimberly Diaz,Twitter,123581,3.73,Fashion,Sydney,1181.35
INF0213,Brian Lambert,YouTube,132927,3.93,Travel,Adelaide,1833.98
INF0214,Vincent Edwards MD,Instagram,39773,7.41,Gaming,Brisbane,2650.79
INF0215,Brian Bell,Twitter,187240,8.35,Beauty,Perth,3152.62
INF0216,Christopher Nunez,Twitter,425963,2.63,Fashion,Sydney,4570.91
INF0217,Tamara Lawrence,Instagram,343540,4.34,Fashion,Adelaide,2647.3
INF0218,Emily Allen,Instagram,374836,9.12,Fitness,Perth,2606.12
INF0219,James Thomas,Instagram,219764,8.26,Fitness,Perth,441.17
INF0220,Kyle Andrews,Instagram,62505,9.86,Fashion,Sydney,367.58
INF0221,John Medina,Instagram,353040,7.79,Gaming,Adelaide,2845.57
INF0222,Tara Thompson,Twitter,23135,4.54,Travel,Perth,2303.26
INF0223,Dylan Lopez,Twitter,95887,6.32,Fashion,Perth,4228.07
INF0224,Lisa Glenn,YouTube,127118,6.95,Tech,Melbourne,971.26
INF0225,Kari Lee,YouTube,494251,1.71,Beauty,Perth,319.86
INF0226,Justin Delgado,TikTok,314521,5.9,Travel,Melbourne,2355.39
INF0227,John Mckinney,YouTube,159626,7.38,Tech,Adelaide,1339.9
INF0228,Christopher Cunningham,YouTube,329635,2.51,Travel,Adelaide,438.15
INF0229,Connie Johnson,Instagram,453837,8.03,Tech,Adelaide,3678.07
INF0230,Dylan Norman,Instagram,250739,6.25,Beauty,Brisbane,735.65
INF0231,Patricia Simpson,YouTube,325427,9.57,Beauty,Adelaide,3119.93
INF0232,Laura Adams,TikTok,483356,1.38,Fitness,Perth,1549.04
INF0233,Wendy Weaver,Instagram,284067,3.39,Gaming,Sydney,1032.78
INF0234,Olivia Alexander,YouTube,314735,6.41,Tech,Melbourne,2022.81
INF0235,Jeffery Fitzgerald,YouTube,67261,3.67,Fitness,Brisbane,4046.94
INF0236,Danielle Golden,Twitter,321480,7.43,Tech,Adelaide,2082.05
INF0237,Dennis Atkins,TikTok,341227,7.83,Fitness,Adelaide,3803.69
INF0238,Sean Wilson,Twitter,65948,1.92,Beauty,Sydney,802.33
INF0239,Christine Rojas,TikTok,245891,5.62,Travel,Sydney,3909.3
INF0240,Shannon Bishop,Instagram,169074,5.58,Fitness,Brisbane,1337.28
INF0241,Luis Glover,TikTok,478314,4.32,Tech,Melbourne,3451.49
INF0242,Renee Hudson,YouTube,471232,9.4,Tech,Adelaide,2915.75
INF0243,Linda Jackson,YouTube,293816,8.45,Gaming,Brisbane,4659.89
INF0244,Eileen Armstrong,TikTok,271357,7.27,Beauty,Perth,2059.15
INF0245,Kayla Mccullough,TikTok,146365,7.43,Tech,Perth,517.59
INF0246,Brandy Brady,TikTok,498193,5.16,Fashion,Brisbane,291.95
INF0247,Anthony Ramirez,Twitter,454076,9.29,Travel,Adelaide,4168.92
INF0248,Meredith Anderson,TikTok,67507,7.25,Fitness,Brisbane,2718.73
INF0249,Frank Wright,Instagram,62134,7.56,Gaming,Adelaide,3921.17
INF0250,Jenna Thomas,Twitter,138172,8.76,Travel,Sydney,1325.24
INF0251,Lori Brooks,Twitter,246225,3.47,Beauty,Brisbane,1856.4
INF0252,Robert Mack,TikTok,198069,8.26,Gaming,Adelaide,344.5
INF0253,Paul Neal,Instagram,295316,2.76,Fitness,Brisbane,4815.16
INF0254,Jordan Freeman,Twitter,287276,4.11,Fitness,Brisbane,3405.77
INF0255,Sheila Boone,YouTube,253933,4.02,Fashion,Adelaide,4679.38
INF0256,William Reid,Twitter,285343,9.81,Beauty,Adelaide,1474.38
INF0257,Sarah Flynn,TikTok,41609,8.71,Gaming,Melbourne,3135.03
INF0258,Walter Summers,Instagram,179037,7.31,Gaming,Brisbane,3456.8
INF0259,Frank Campbell MD,TikTok,144088,7.54,Tech,Perth,1724.24
INF0260,Samuel Kramer,YouTube,437995,6.06,Fashion,Brisbane,4270.92
INF0261,Pamela Williams,YouTube,299025,9.52,Fashion,Brisbane,4746.38
INF0262,Sara Smith,YouTube,218666,5.47,Gaming,Adelaide,4447.3
INF0263,Brooke Bryant,TikTok,291616,4.42,Gaming,Brisbane,3747.52
INF0264,Jessica Forbes DVM,Twitter,498678,2.47,Travel,Brisbane,1531.83
INF0265,Elizabeth Baxter,TikTok,187885,8.08,Travel,Perth,1551.76
INF0266,Anna Ward,Instagram,236440,7.61,Travel,Adelaide,4824.13
INF0267,Matthew Banks,Twitter,262803,4.46,Fashion,Brisbane,249.37
INF0268,Mario Barber,YouTube,172093,1.23,Tech,Sydney,3637.04
INF0269,Jessica Davis,TikTok,321275,8.55,Fitness,Melbourne,3589.98
INF0270,Daniel Miller,YouTube,160159,1.1,Travel,Perth,3188.91
INF0271,Kelly Wallace,YouTube,17828,7.33,Tech,Brisbane,4952.52
INF0272,Greg Martinez,Instagram,459826,9.73,Beauty,Sydney,1697.02
INF0273,Melissa Woods,Twitter,363808,4.94,Travel,Brisbane,1831.86
INF0274,Brandon Shaffer,Instagram,137473,3.11,Fitness,Brisbane,578.91
INF0275,Jacob Evans,Instagram,483395,7.34,Beauty,Adelaide,2325.43
INF0276,Robert Baxter,Instagram,282337,8.35,Beauty,Adelaide,1453.03
INF0277,Megan Jones,YouTube,228461,5.92,Fitness,Adelaide,1848.26
INF0278,Lisa Martin,Instagram,443080,9.7,Travel,Sydney,4205.94
INF0279,Daniel Goodman,Instagram,418523,1.47,Fashion,Brisbane,4690.33
INF0280,Lisa Ramos,Twitter,369662,5.54,Fitness,Melbourne,1091.52
INF0281,Steven Taylor,Twitter,286755,7.47,Fitness,Perth,1988.04
INF0282,Nicholas Bell,Instagram,179863,8.76,Fitness,Adelaide,4657.43
INF0283,Richard Wright,Twitter,410166,2.61,Beauty,Adelaide,496.68
INF0284,Danielle Burke,Twitter,343384,8.2,Tech,Brisbane,643.33
INF0285,Dominique Pugh,Instagram,244719,5.97,Fashion,Brisbane,981.4
INF0286,Ryan Liu,YouTube,213475,4.57,Travel,Sydney,3057.02
INF0287,Lawrence Lopez,Instagram,269889,2.19,Travel,Sydney,922.27
INF0288,Matthew Bowers,Twitter,322387,8.79,Tech,Adelaide,4846.77
INF0289,Cynthia Cruz,YouTube,271010,2.42,Fitness,Brisbane,2344.23
INF0290,Mark Jones,TikTok,168317,3.79,Fashion,Melbourne,2607.29
INF0291,Alexandria Ward,YouTube,442940,3.61,Travel,Perth,1383.96
INF0292,James Combs,Twitter,395825,8.84,Gaming,Brisbane,2460.61
INF0293,Joshua Thompson,YouTube,76354,7.05,Travel,Brisbane,3377.19
INF0294,William Jones,Instagram,56374,8.17,Fitness,Sydney,3805.65
INF0295,Alexis Lewis,TikTok,119397,3.25,Gaming,Perth,3818.57
INF0296,Tiffany Sanders,TikTok,253552,6.62,Tech,Adelaide,2973.88
INF0297,Micheal Wang,TikTok,391721,6.15,Fashion,Brisbane,4540.93
INF0298,James Davidson,Twitter,428332,8.5,Tech,Adelaide,4123.56
INF0299,Brittany Miller,Twitter,348173,9.15,Tech,Brisbane,3833.83
INF0300,Thomas Mccann,TikTok,360718,1.11,Fashion,Adelaide,466.91
